timestamp,slot1_cm,slot2_cm,slot3_cm,slot4_cm,occupied_slots,available_slots,system_status,gate_status,buzzer_status
T01,80,80,80,80,0,4,SPACE_AVAILABLE,OPEN,OFF
T02,20,80,80,80,1,3,SPACE_AVAILABLE,OPEN,OFF
T03,20,20,80,80,2,2,SPACE_AVAILABLE,OPEN,OFF
T04,20,20,20,80,3,1,SPACE_AVAILABLE,OPEN,OFF
T05,20,20,20,20,4,0,PARKING_FULL,CLOSED,ON
T06,20,20,20,80,3,1,SPACE_AVAILABLE,OPEN,OFF
T07,18,82,21,79,2,2,SPACE_AVAILABLE,OPEN,OFF
T08,12,75,28,83,2,2,SPACE_AVAILABLE,OPEN,OFF
T09,34,35,36,80,1,3,SPACE_AVAILABLE,OPEN,OFF
T10,33,34,35,80,2,2,SPACE_AVAILABLE,OPEN,OFF
T11,80,80,80,80,0,4,SPACE_AVAILABLE,OPEN,OFF
T12,20,80,20,80,2,2,SPACE_AVAILABLE,OPEN,OFF
